label,prec,rec
信用卡数量限制,0.75,0.75
公司优势,0.88,0.92
合作银行,1.00,0.84
审核时间,1.00,1.00
客户提意见,0.98,0.98
客服不专业,0.98,0.98
已在使用,1.00,0.25
已有贷款,0.33,0.50
征信差或无资产,0.87,0.83
提交材料,0.85,0.98
是否上征信,0.92,1.00
是否机器人,1.00,1.00
是否真实,1.00,1.00
爱国爱党,0.86,1.00
私人信息,0.83,0.92
考虑,0.89,0.84
解释信用贷款,0.50,0.60
解释厘,1.00,0.89
解释省呗,0.98,0.91
询问信息来源,1.00,1.00
询问公司名称或地址,0.87,0.95
询问分期,1.00,1.00
询问利息,0.88,0.88
询问利率,1.00,0.93
询问如何还款,1.00,1.00
询问客服名字,0.75,0.50
询问手续费,1.00,0.92
询问抵押,0.67,0.80
询问是否安全,1.00,0.96
询问联系方式,1.00,0.93
询问贷款现金,1.00,1.00
询问贷款速度,0.91,0.83
询问身份或来意,0.92,0.93
询问额度,0.98,1.00
贷款速度快,0.75,0.75
软件怎么下载,1.00,0.71
额度是否循环,1.00,0.75
