label,prec,rec
信用卡数量限制,1.00,0.75
公司优势,1.00,0.80
合作银行,1.00,0.95
审核时间,0.95,1.00
客户提意见,0.98,0.98
客服不专业,0.98,0.95
已在使用,1.00,0.75
已有贷款,0.67,1.00
征信差或无资产,0.77,1.00
提交材料,0.91,0.93
是否上征信,1.00,0.96
是否机器人,1.00,1.00
是否真实,1.00,0.96
爱国爱党,0.83,0.83
私人信息,0.93,0.96
考虑,1.00,0.95
解释信用贷款,0.83,1.00
解释厘,1.00,1.00
解释省呗,0.96,0.98
询问信息来源,1.00,1.00
询问公司名称或地址,0.97,0.88
询问分期,1.00,0.92
询问利息,0.64,0.88
询问利率,1.00,0.73
询问如何还款,1.00,0.93
询问客服名字,0.57,0.67
询问手续费,0.80,0.92
询问抵押,1.00,1.00
询问是否安全,1.00,0.92
询问联系方式,1.00,1.00
询问贷款现金,1.00,1.00
询问贷款速度,1.00,0.67
询问身份或来意,0.91,0.98
询问额度,0.94,1.00
贷款速度快,0.57,1.00
软件怎么下载,1.00,1.00
额度是否循环,1.00,0.83
